16777216,16777471,AU
16777472,16778239,CN
16778240,16779263,AU
16779264,16781311,CN
16781312,16785407,JP
16785408,16793599,CN
16793600,16809983,JP
16809984,16842751,TH
16842752,16843007,CN
16843008,16843263,AU
16843264,16859135,CN
16859136,16875519,JP
16875520,16908287,TH
16908288,16909055,CN
16909056,16909311,AU
16909312,16941055,CN
16941056,16973823,TH
16973824,17039359,CN
17039360,17039615,AU
17039616,17072127,CN
17072128,17104895,TH
17104896,17170431,JP
17170432,17301503,IN
17301504,17367039,CN
17367040,17432575,MY
17432576,17435135,CN
17435136,17435391,AU
17435392,17465343,CN
17465344,17498111,TH
17498112,17563647,KR
17563648,17825791,CN
17825792,18087935,KR
18087936,18153471,TH
18153472,18219007,JP
18219008,18350079,IN
18350080,18874367,CN
18874368,18939903,HK
18939904,19005439,JP
19005440,19136511,TW
19136512,19202047,HK
19202048,19267583,PH
19267584,19398655,IN
19398656,19726335,AU
19726336,19791871,CN
19791872,19922943,TH
19922944,20185087,CN
20185088,20447231,VN
20447232,20971519,CN
20971520,21102591,HK
21102592,21233663,JP
21233664,21495807,CN
21495808,22020095,JP
22020096,23068671,CN
23068672,24117247,KR
24117248,24379391,JP
24379392,24641535,CN
24641536,27262975,AU
27262976,28311551,TW
28311552,28442623,KR
28442624,28540927,AU
28540928,28573695,TH
28573696,28966911,CN
28966912,29097983,IN
29097984,29884415,CN
29884416,29949951,TW
29949952,30015487,KR
30015488,30408703,CN
30408704,33554431,KR
33554432,34603007,FR
34603008,35127295,EU
35127296,35651583,GB
35651584,36700159,IT
36700160,36962303,AE
36962304,37224447,IL
37224448,37486591,UA
37486592,37748735,RU
37748736,38273023,SE
38273024,38797311,KZ
38797312,39059455,PT
39059456,39321599,GR
39321600,39583743,SA
39583744,39845887,RU
39845888,40370175,GB
40370176,40894463,DK
40894464,41418751,IT
41418752,41943039,GB
41943040,42205183,DK
42205184,42467327,KZ
42467328,42991615,ES
42991616,43253759,IR
43253760,43515903,NO
43515904,43778047,ES
43778048,44040191,IT
44040192,45088767,DE
45088768,46137343,IR
46137344,46661631,IT
46661632,47710207,DE
47710208,48234495,GB
48234496,49283071,IT
49283072,49807359,DE
49807360,50331647,SE
50331648,83886079,US
83886080,88080383,EU
100663296,167772159,US
184549376,234881023,US
234881024,234883071,CN
234883072,234884095,JP
234884096,234885119,CN
234885120,234889215,VN
234889216,234913791,KR
234913792,234946559,HK
234946560,234947583,CN
234947584,234950655,JP
234950656,234951679,AU
234951680,234952703,HK
234952704,234954751,JP
234954752,234971135,NZ
234979328,235012095,MY
235012096,235077631,AU
235077632,235143167,JP
235143168,235405311,KR
235405312,235929599,JP
